,model,dataset,preprocessing,augmentation,accuracy,accuracy,macro_precision,macro_precision,macro_recall,macro_recall,macro_f1,macro_f1
,,,,,mean,std,mean,std,mean,std,mean,std
0,Twitter_twhin-bert-base,kaggle,True,False,0.953,0.002,0.951,0.002,0.951,0.002,0.951,0.002
1,answerdotai_ModernBERT-base,kaggle,True,False,0.953,0.003,0.95,0.004,0.95,0.004,0.95,0.003
2,chandar-lab_NeoBERT,kaggle,True,False,0.952,0.002,0.949,0.002,0.95,0.002,0.949,0.002
3,roberta-base,kaggle,True,False,0.952,0.001,0.949,0.001,0.949,0.001,0.949,0.001
4,albert_albert-base-v2,kaggle,True,False,0.95,0.001,0.947,0.001,0.947,0.001,0.947,0.001
5,Twitter_twhin-bert-base,tweeteval,True,False,0.945,0.002,0.936,0.002,0.936,0.003,0.936,0.002
6,roberta-base,tweeteval,True,False,0.943,0.001,0.936,0.002,0.934,0.002,0.935,0.002
7,chandar-lab_NeoBERT,tweeteval,True,False,0.943,0.002,0.935,0.004,0.933,0.003,0.934,0.003
8,answerdotai_ModernBERT-base,tweeteval,True,False,0.942,0.001,0.935,0.002,0.93,0.002,0.932,0.002
9,albert_albert-base-v2,tweeteval,True,False,0.941,0.002,0.932,0.004,0.932,0.003,0.932,0.003
10,Twitter_twhin-bert-base,ieee,True,False,0.812,0.012,0.809,0.009,0.804,0.011,0.804,0.011
11,roberta-base,ieee,True,False,0.808,0.008,0.809,0.009,0.804,0.009,0.802,0.008
12,chandar-lab_NeoBERT,ieee,True,False,0.8,0.012,0.808,0.013,0.794,0.011,0.795,0.011
13,albert_albert-base-v2,ieee,True,False,0.8,0.013,0.802,0.016,0.795,0.013,0.795,0.013
14,answerdotai_ModernBERT-base,ieee,True,False,0.786,0.009,0.788,0.007,0.777,0.008,0.779,0.008
